name,description,imageUrl,category,price,quantityAvailable,supplierEmail
Formal Shoes 1,High quality and reliable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,31,83,supplier2@example.com
Casual Backpack 2,High quality and reliable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Accessories,188,30,supplier2@example.com
Running Sneakers 3,Stylish and durable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Kitchen,243,35,supplier1@example.com
Digital Alarm Clock 4,Compact and portable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Shoes,182,134,supplier1@example.com
Stainless Steel Watch 5,Easy to clean,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,228,92,supplier1@example.com
Running Sneakers 6,Eco-friendly materials,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Accessories,168,88,supplier2@example.com
Wireless Mouse 7,Perfect for everyday use,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Accessories,258,187,supplier1@example.com
Portable Speaker 8,Stylish and durable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Electronics,267,79,supplier2@example.com
Casual Backpack 9,Modern and elegant look,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Kitchen,69,35,supplier1@example.com
Graphic Tee 10,Stylish and durable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Electronics,178,21,supplier1@example.com
Adidas Campus 11,Lightweight and powerful,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,59,67,supplier1@example.com
USB-C Charger 12,Ergonomic design,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,175,28,supplier1@example.com
